cumPktCount,burstNum,burstSize,pktsBurst,pktsFlow,maxBytesFlow,fractionFlowBytes
1765,559,206,4,3,150,0.728155339806
1783,560,9433,18,2,3008,0.318880525814
1788,561,2000,5,1,1504,0.752
1790,562,102,2,1,56,0.549019607843
1791,563,1504,1,1,1504,1.0
1826,564,29542,35,6,9024,0.305463408029
1827,565,1504,1,1,1504,1.0
1829,566,118,2,1,68,0.576271186441
1831,567,102,2,1,56,0.549019607843
1833,568,124,2,1,68,0.548387096774
1834,569,1504,1,1,1504,1.0
1847,570,8639,13,3,4512,0.522282671606
1850,571,3193,3,1,1504,0.471030378954
1851,572,705,1,1,705,1.0
1852,573,1504,1,1,1504,1.0
1853,574,204,1,1,204,1.0
1873,575,14328,20,5,7520,0.524846454495
1878,576,1728,5,1,1504,0.87037037037
1879,577,56,1,1,56,1.0
1880,578,1504,1,1,1504,1.0
1881,579,46,1,1,46,1.0
1891,580,3504,10,1,1504,0.429223744292
1892,581,1504,1,1,1504,1.0
1893,582,50,1,1,50,1.0
1905,583,9833,12,3,4512,0.458863012306
1907,584,1560,2,1,1504,0.964102564103
1911,585,214,4,1,56,0.261682242991
1912,586,56,1,1,56,1.0
1913,587,1494,1,1,1494,1.0
1914,588,396,1,1,396,1.0
1915,589,1494,1,1,1494,1.0
1916,590,1494,1,1,1494,1.0
1922,591,3511,6,2,2988,0.85103958986
1923,592,50,1,1,50,1.0
1925,593,2940,2,1,1496,0.508843537415
1926,594,64,1,1,64,1.0
1927,595,50,1,1,50,1.0
1929,596,140,2,1,84,0.6
1931,597,1557,2,1,1496,0.96082209377
1932,598,56,1,1,56,1.0
1933,599,1496,1,1,1496,1.0
1935,600,1550,2,1,1504,0.970322580645
1936,601,50,1,1,50,1.0
1938,602,128,2,1,82,0.640625
1942,603,1691,4,1,1504,0.889414547605
1944,604,1552,2,1,1496,0.963917525773
1955,605,6900,11,2,3008,0.435942028986
1957,606,1560,2,1,1504,0.964102564103
1958,607,1504,1,1,1504,1.0
1961,608,1616,3,1,1504,0.930693069307
1964,609,1656,3,1,1504,0.908212560386
1984,610,17646,20,6,9024,0.511390683441
1985,611,74,1,1,74,1.0
1988,612,2539,3,1,1496,0.589208349744
1991,613,3048,3,1,1496,0.490813648294
1996,614,4992,5,2,2992,0.599358974359
1998,615,193,2,1,109,0.564766839378
1999,616,1504,1,1,1504,1.0
2000,617,1504,1,1,1504,1.0
2005,618,270,5,3,168,0.622222222222
2006,619,46,1,1,46,1.0
2007,620,1504,1,1,1504,1.0
2012,621,514,5,1,247,0.480544747082
2013,622,1504,1,1,1504,1.0
2015,623,1560,2,1,1504,0.964102564103
2017,624,102,2,1,56,0.549019607843
2018,625,1504,1,1,1504,1.0
2020,626,638,2,1,592,0.92789968652
2021,627,1504,1,1,1504,1.0
2022,628,204,1,1,204,1.0
2023,629,1504,1,1,1504,1.0
2028,630,4624,5,2,3008,0.650519031142
2029,631,1504,1,1,1504,1.0
2031,632,1560,2,1,1504,0.964102564103
2032,633,56,1,1,56,1.0
2033,634,56,1,1,56,1.0
2034,635,50,1,1,50,1.0
2036,636,136,2,2,136,1.0
2037,637,50,1,1,50,1.0
2038,638,829,1,1,829,1.0
2039,639,373,1,1,373,1.0
2042,640,192,3,2,136,0.708333333333
2044,641,556,2,1,506,0.910071942446
2045,642,1504,1,1,1504,1.0
2046,643,52,1,1,52,1.0
2047,644,46,1,1,46,1.0
2049,645,1617,2,1,1504,0.930117501546
2051,646,2038,2,1,1504,0.737978410206
2052,647,1504,1,1,1504,1.0
2053,648,1424,1,1,1424,1.0
2055,649,1470,2,1,1424,0.968707482993
2056,650,1496,1,1,1496,1.0
2059,651,831,3,1,723,0.870036101083
2060,652,289,1,1,289,1.0
2061,653,64,1,1,64,1.0
2063,654,981,2,1,925,0.942915392457
2064,655,56,1,1,56,1.0
2065,656,1504,1,1,1504,1.0
2066,657,68,1,1,68,1.0
2067,658,1504,1,1,1504,1.0
2073,659,3216,6,1,1504,0.467661691542
2074,660,1444,1,1,1444,1.0
2075,661,1504,1,1,1504,1.0
2077,662,112,2,1,56,0.5
2078,663,50,1,1,50,1.0
2079,664,84,1,1,84,1.0
2080,665,1504,1,1,1504,1.0
2087,666,342,7,5,230,0.672514619883
2088,667,442,1,1,442,1.0
2089,668,46,1,1,46,1.0
2090,669,50,1,1,50,1.0
2110,670,23031,20,7,10528,0.457123008119
2112,671,3000,2,1,1504,0.501333333333
2115,672,4504,3,1,1504,0.333925399645
2122,673,5011,7,1,1504,0.300139692676
2123,674,56,1,1,56,1.0
2126,675,3124,3,1,1504,0.481434058899
2131,676,4634,5,2,2992,0.645662494605
2132,677,68,1,1,68,1.0
2140,678,6174,8,2,2992,0.484612892776
2141,679,46,1,1,46,1.0
2145,680,218,4,1,56,0.256880733945
2147,681,168,2,1,122,0.72619047619
2148,682,56,1,1,56,1.0
2149,683,1504,1,1,1504,1.0
2150,684,56,1,1,56,1.0
2156,685,4414,6,1,1504,0.340734028092
2157,686,52,1,1,52,1.0
2158,687,1504,1,1,1504,1.0
2160,688,2417,2,1,1504,0.622258998759
2164,689,2802,4,2,2692,0.960742326909
2165,690,1504,1,1,1504,1.0
2168,691,1596,3,1,1504,0.942355889724
2169,692,1504,1,1,1504,1.0
2174,693,262,5,2,92,0.351145038168
2175,694,1504,1,1,1504,1.0
2178,695,162,3,1,56,0.345679012346
2181,696,150,3,3,150,1.0
2182,697,1504,1,1,1504,1.0
2183,698,50,1,1,50,1.0
2189,699,2198,6,1,1504,0.684258416742
2190,700,1504,1,1,1504,1.0
2200,701,2192,10,1,1504,0.686131386861
2201,702,1504,1,1,1504,1.0
2204,703,1616,3,1,1504,0.930693069307
2209,704,5233,5,1,1504,0.2874068412
2211,705,1897,2,1,1504,0.792830785451
2212,706,64,1,1,64,1.0
2213,707,1504,1,1,1504,1.0
2216,708,1912,3,1,1504,0.786610878661
2222,709,280,6,5,230,0.821428571429
2231,710,3350,9,1,1504,0.448955223881
